# url=https://m.place.naver.com/restaurant/2016309840/review/visitor, place_name=고가담 위례본점
created,visited,visit_count,author_nickname,body,id,author_id,rating
25.10.3.금,25.10.3.금,1,mk4608,"고기 퀄리티
오겹살 삼겹살 목살을 주문했는데, 고기가 두툼하면서도 육즙이 꽉 차 있었어요. 불판에 올리자마자 기름이 지글지글 떨어지며 나는 소리가 정말 식욕을 자극했습니다. 직원분께서 도와주셔서 태울 걱정 없이 먹을 수 있었던 점도 만족스러웠습니다.

밑반찬 & 서비스
쌈 채소가 신선했고, 특히 직접 담근 듯한 양파무침이 고기와 궁합이 딱 맞았습니다. 서비스로 나온 김치찌개도 국물 맛이 깊어서 밥 한 공기 뚝딱 먹을 정도였어요. 무엇보다 직원분들이 고기 익힘 상태나 테이블 상황을 자주 살펴주셔서 편하게 식사할 수 있었습니다.",68dfb962c8622e6c4738e809,3z4P7,
25.9.20.토,25.9.20.토,1,768898,고기 질이 미쳤어요 육질이 촉촉하고 부드러워서 계속 들어감;; 함께 구워주시는 미나리도 상콤하니 고기랑 잘 어울렸어요. 고기랑 찍어 먹는 쌈장이 보리?? 넣은 거 같던데 맛있더라고요 그리구 된장찌개 꼭 드세요 우렁 양이 미챳음...,68ce88ab0e5ab6f17fca43c9,kxAq,
25.10.17.금,25.10.17.금,1,단본맘,"완전 강추예요
고기도 맛있고 
반찬 소스 다 맛있어요
고기도 맛있게 구워주셔서 
대만족",68f214de70a8bcd45c017752,1ZBRa,
25.12.12.금,25.12.11.목,2,케이터89,너무 친절하시고 고기도 맛있고 아이에게 친절해서 자주 오는 곳입니다!,693be94f997ff73b3111a2be,1CuPO,
25.9.18.목,25.9.18.목,1,seb****,"고깃집이 새로 오픈해서 가격도 괜찮길래 방문했어요. 직원분들이 직접 고기를 구워주셔서 편하게 먹을 수 있었고, 무엇보다도 고기 질도 좋아서 만족스러웠요. 특히 레몬소금에 찍어 먹으니 너무 맛있어서 계속 손이 갔습니다👍 사이드로 육회 시켜봤는데 신선하고 맛있어서 너무 좋았네요ㅎㅎ 이번엔 돼지고기만 먹었는데, 다음엔 소고기도 먹으러 다시 방문할게요!☺️",68cbf657d583bc4af6ab4f59,aAuJu,
25.12.17.수,25.12.12.금,1,iqldj,"동네 걸으며 궁금했던 식당인데 기회가 되어서 왔습니다. 고기 구워주셔서 넘 좋구 친절하세요!! 야채도 다양하게 많아서 정말 좋고, 고기도 신선합니다 !!",69425048d1704a72b1e9c270,2xwb7,
25.11.18.화,25.11.18.화,2,우당탕탕주홍,"고기 맛있게먹느라 사진찍는걸 깜짝했어요
일주일만에 다시왔어요 칼집 목살 꼭 드세요ㅠㅠ
계란찜도 꼭 드새요",691c569b9dd291b1f2e88ba1,1I6If,
25.10.20.월,25.10.20.월,1,지넌스블로그,고기도 구워주시고 반찬도 정말 맛있어요.!,68f61b6d069efc5c42fb11e2,PH1c,
25.11.15.토,25.11.14.금,6,rez****,자주 이용하는 고깃집입니당. 고기질 너무 좋고 신선하고 친절하고 만족 대만족 입니당,691851e6a6a2e74c2ee941c3,3V7YC,
25.11.1.토,25.11.1.토,1,ㅅㅅ옷,고기도 너무 맛있고 쌈 종류도 많고 소스도 맛있어요 무엇보다 맛있게 구워주셔서 짱! 동네에 돼지고기집 많은데 여기가 제일 맛있는 거 같아요!,6905d70383ea27ca57c2a71e,ixTG,
25.11.1.토,25.11.1.토,1,yesungkim82,"일단 공기밥부터 드셔보세요. 맛있고, 메뉴 하나하나에 많은 노력이 들어간 게 보입니다. 고기도 맛있고, 반찬도 정말 맛있어요. 몇 가지는 진짜 개맛있네요. 추천합니다.",6905d64c96ae763c6f6ed816,EP1D,
